key_droid	key_apple	base_value	lang_value	base_note	lang_note
	history_data_alert_cancel	Cancel	Zrušit	History Data Alert: Cancel	
	history_data_alert_clear	Clear	Vymazat	History Data Alert: Clear	
	history_data_alert_import	Import	Import	History Data Alert: Clear	
	history_data_alert_ok	OK	OK	History Data Alert: Clear	
	history_data_export_btn	Export History Data	Export Dat	History Data: export action button	
	history_data_export_text	Export has been written to:	Export byl zapsán do souboru:	History Data: export description text	
	history_data_import_btn	Import History Data	Import Dat	History Data: import action button	
	history_data_import_caution_text	Caution: This import will overwrite all history data currently in this Daily Dozen application. Would you like to proceed with the import?	Caution: Tento import přepíše data v aplikaci Denní Dvanáctka. Chcete pokračovat s importem?	History Data: import description text	
	history_data_import_notfound_text	Did not find a valid import file in the Daily Dozen Documents folder.	Nebyl nalezen platný soubor v adresáři Denní Dvanáctka.	History Data: import description text	
	history_data_title	History	Historie	History Data: preferences header & title	
